,location,Coords,Lats,Longs,cluster
64,"los angeles, california","{'lat': 34.0522342, 'lng': -118.2436849}",34.0522342,-118.2436849,1
65,"lagunitas, california","{'lat': 38.01214119999999, 'lng': -122.7018193}",38.01214119999999,-122.7018193,0
66,"san geronimo, california","{'lat': 38.0132562, 'lng': -122.6638731}",38.0132562,-122.6638731,0
67,"point richmond, california","{'lat': 37.9252463, 'lng': -122.383404}",37.9252463,-122.383404,0
68,"moss beach, california","{'lat': 37.5274401, 'lng': -122.5133117}",37.5274401,-122.5133117,0
69,"bolinas, california","{'lat': 37.9093702, 'lng': -122.6863733}",37.9093702,-122.6863733,0
70,"west oakland, california","{'lat': 37.8155761, 'lng': -122.2839963}",37.8155761,-122.2839963,0
71,"colma, california","{'lat': 37.6749036, 'lng': -122.4561533}",37.6749036,-122.4561533,0
72,"san diego, california","{'lat': 32.715738, 'lng': -117.1610838}",32.715738,-117.1610838,1
73,"tiburon, california","{'lat': 37.8735377, 'lng': -122.4566392}",37.8735377,-122.4566392,0
74,"santa cruz, california","{'lat': 36.9741171, 'lng': -122.0307963}",36.9741171,-122.0307963,2
75,"hillsborough, california","{'lat': 37.5741032, 'lng': -122.3794163}",37.5741032,-122.3794163,0
76,"stinson beach, california","{'lat': 37.9004816, 'lng': -122.6444263}",37.9004816,-122.6444263,0
77,"nicasio, california","{'lat': 38.06170950000001, 'lng': -122.6991484}",38.06170950000001,-122.6991484,0
78,"santa monica, california","{'lat': 34.0194543, 'lng': -118.4911912}",34.0194543,-118.4911912,1
79,"bayshore, california","{'lat': 37.7063208, 'lng': -122.4133047}",37.7063208,-122.4133047,0
80,"petaluma, california","{'lat': 38.232417, 'lng': -122.6366524}",38.232417,-122.6366524,0
81,"redwood shores, california","{'lat': 37.5364134, 'lng': -122.2455364}",37.5364134,-122.2455364,0
82,"santa rosa, california","{'lat': 38.440429, 'lng': -122.7140548}",38.440429,-122.7140548,0
83,"irvine, california","{'lat': 33.6845673, 'lng': -117.8265049}",33.6845673,-117.8265049,1
84,"san quentin, california","{'lat': 37.9413246, 'lng': -122.484704}",37.9413246,-122.484704,0
85,"san jose, california","{'lat': 37.3382082, 'lng': -121.8863286}",37.3382082,-121.8863286,2
86,"napa, california","{'lat': 38.2975381, 'lng': -122.286865}",38.2975381,-122.286865,0
87,"kensington, california","{'lat': 37.9104805, 'lng': -122.2802471}",37.9104805,-122.2802471,0
88,"sacramento, california","{'lat': 38.5815719, 'lng': -121.4943996}",38.5815719,-121.4943996,3
89,"forest knolls, california","{'lat': 38.0152522, 'lng': -122.6931583}",38.0152522,-122.6931583,0
90,"los gatos, california","{'lat': 37.2358078, 'lng': -121.9623751}",37.2358078,-121.9623751,2
91,"hacienda heights, california","{'lat': 33.9930677, 'lng': -117.9686755}",33.9930677,-117.9686755,1
92,"south lake tahoe, california","{'lat': 38.939926, 'lng': -119.9771868}",38.939926,-119.9771868,3
93,"santa clara, california","{'lat': 37.3541079, 'lng': -121.9552356}",37.3541079,-121.9552356,2
94,"riverside, california","{'lat': 33.9806005, 'lng': -117.3754942}",33.9806005,-117.3754942,1
95,"pacheco, california","{'lat': 37.9854114, 'lng': -122.0720633}",37.9854114,-122.0720633,0
96,"rohnert park, california","{'lat': 38.3396367, 'lng': -122.7010984}",38.3396367,-122.7010984,0
97,"livingston, california","{'lat': 37.3868826, 'lng': -120.7235329}",37.3868826,-120.7235329,2
98,"milpitas, california","{'lat': 37.4323341, 'lng': -121.8995741}",37.4323341,-121.8995741,2
99,"costa mesa, california","{'lat': 33.6638439, 'lng': -117.9047429}",33.6638439,-117.9047429,1
100,"pasadena, california","{'lat': 34.1477849, 'lng': -118.1445155}",34.1477849,-118.1445155,1
101,"arcadia, california","{'lat': 34.1397292, 'lng': -118.0353449}",34.1397292,-118.0353449,1
102,"orange, california","{'lat': 33.7879139, 'lng': -117.8531007}",33.7879139,-117.8531007,1
103,"concord, california","{'lat': 37.9779776, 'lng': -122.0310733}",37.9779776,-122.0310733,0
104,"oceanview, california","{'lat': 37.7141828, 'lng': -122.4566316}",37.7141828,-122.4566316,0
